Date, Time, Lat, Lon, Speed Data (miles/hour), Elevation (m)
2024-11-08, 15:27:50, 45.57147138085761, -122.72805765318788, 1.03, 50.61
2024-11-08, 15:27:51, 45.57149979585488, -122.72810221639874, 6.00, 50.27
2024-11-08, 15:27:52, 45.57164085877851, -122.7282187707673, 24.96, 50.62
2024-11-08, 15:27:53, 45.57180852292059, -122.7283582820176, 36.46, 50.96
2024-11-08, 15:27:54, 45.57195622121056, -122.72848213725926, 38.75, 51.58
2024-11-08, 15:27:55, 45.57209834782471, -122.72859820673244, 38.94, 51.35
2024-11-08, 15:27:56, 45.572230142936, -122.72868636041598, 36.00, 50.74
2024-11-08, 15:27:57, 45.572287382653506, -122.72864313286094, 21.55, 50.65
2024-11-08, 15:27:58, 45.57225647571536, -122.72860553479359, 5.91, 50.22
2024-11-08, 15:27:59, 45.57222961594837, -122.72863265167207, 0.27, 51.04
